"Line","Hybrid_Name","Env","DTHD","DTMT","GY","Height"
"GID6934427","GID6934427","Bed5IR",87,129,7.28258814,107
"GID6934433","GID6934433","Bed5IR",69,112,5.383778837,92
"GID6934466","GID6934466","Bed5IR",75,114,6.321278897,100
"GID6934475","GID6934475","Bed5IR",84,125,6.246873927,98
"GID6934482","GID6934482","Bed5IR",83,125,6.700742957,100
"GID6934491","GID6934491","Bed5IR",79,118,5.93809432,100
"GID6934505","GID6934505","Bed5IR",68,110,6.098808684,98
"GID6934533","GID6934533","Bed5IR",91,131,6.676933744,103
"GID6934540","GID6934540","Bed5IR",71,115,5.929166107,100
"GID6934543","GID6934543","Bed5IR",73,114,6.302678137,102
"GID6934547","GID6934547","Bed5IR",74,120,6.2014875,103
"GID6934550","GID6934550","Bed5IR",70,116,5.427677864,102
"GID6934553","GID6934553","Bed5IR",74,117,6.35550556,98
"GID6934561","GID6934561","Bed5IR",76,117,6.441070924,104
"GID6934562","GID6934562","Bed5IR",71,116,5.732765954,104
"GID6934566","GID6934566","Bed5IR",74,116,5.577259264,103
"GID6934567","GID6934567","Bed5IR",84,125,5.906872628,102
"GID6934570","GID6934570","Bed5IR",76,118,5.727556991,100
"GID6934611","GID6934611","Bed5IR",73,116,5.762527414,104
"GID6934629","GID6934629","Bed5IR",75,117,5.918033534,97
"GID6934634","GID6934634","Bed5IR",74,116,5.940355231,104
"GID6934656","GID6934656","Bed5IR",77,119,6.576515988,103
"GID6934657","GID6934657","Bed5IR",77,119,6.051218351,105
"GID6934658","GID6934658","Bed5IR",72,115,6.043777381,102
"GID6934667","GID6934667","Bed5IR",75,118,5.604790078,106
"GID6934689","GID6934689","Bed5IR",79,120,5.906129138,102
"GID6934699","GID6934699","Bed5IR",88,130,6.572051834,100
"GID6934721","GID6934721","Bed5IR",86,126,6.61294484,112
"GID6934723","GID6934723","Bed5IR",92,132,5.90386787,112
"GID6934762","GID6934762","Bed5IR",73,115,5.95074305,103
"GID6934763","GID6934763","Bed5IR",86,126,6.37113008,102
"GID6934774","GID6934774","Bed5IR",86,126,6.2357132,98
"GID6934780","GID6934780","Bed5IR",87,127,6.680682354,102
"GID6934786","GID6934786","Bed5IR",82,123,6.388271718,104
"GID6934788","GID6934788","Bed5IR",77,118,6.259551474,97
"GID6934791","GID6934791","Bed5IR",77,118,5.888271504,100
